Clients,Latency Mean (ms),Latency Std (ms),Margin of Error (ms)
10,7.923146289747929,4.887341884826334,2.4595299377688766
20,17.896773386173205,2.7553468874760925,1.3866143024955477
30,23.286427417366152,3.491745517677156,1.7572031665025243
40,25.988613653891903,2.902634929450309,1.4607362602484208
50,34.19357144166995,2.8545214831324026,1.436523413180053
60,42.02025428407269,2.1106608420635986,1.0621793301690314
70,54.43092950605265,3.8286930019396905,1.926770273639548
80,50.872889064159196,3.5080370696865844,1.7654018071632709
90,56.28775195361382,2.154436253749968,1.0842090833800881
100,59.62777042116917,2.835939392709834,1.4271720707166724
